ID,pixel_asm0,pixel_asm1,pixel_asm2,pixel_asm3,pixel_asm4,pixel_asm5,pixel_asm6,pixel_asm7,pixel_asm8,pixel_asm9
7dk9aUmW0HlvsbtNSFuZ,46,116,101,120,116,58,48,48,52,48
G68a2QiCMsvf9JUWdlND,72,69,65,68,69,82,58,48,48,52
DwEQhKioybXvg8lrjpRe,72,69,65,68,69,82,58,48,48,52
HEsbjuQ2Zoln3XL5WGvN,72,69,65,68,69,82,58,48,48,52
AKWdwnF1IHTGZujOki2N,72,69,65,68,69,82,58,48,48,52
3aUTHQpJqC8czb1yohmA,72,69,65,68,69,82,58,49,48,48
cIojVJGQOtrL0S1ApeDY,72,69,65,68,69,82,58,48,48,52
kghNvYueUqRoQsbSZ89M,46,116,101,120,116,58,48,48,52,48
DtBPhFYTCJ8lcEp7Ojke,72,69,65,68,69,82,58,48,48,52
ItHfy5k2V6T9MNLs83ae,72,69,65,68,69,82,58,48,48,52
JlyfLgRt2pYs1cmZeHXE,72,69,65,68,69,82,58,48,48,52
1KB3Z7gd5aN4Xmx8W0sf,72,69,65,68,69,82,58,48,48,52
5GSAcsthaC7EBgOUrzv3,72,69,65,68,69,82,58,48,48,52
GSoMecQhOTdXZy7D1Cjg,72,69,65,68,69,82,58,48,48,52
CZERL3GtjlXBSK2QidO6,72,69,65,68,69,82,58,49,48,48
jfoOKUzAhdHWvuLeJxCN,72,69,65,68,69,82,58,48,48,52
fl4qpgSOjG8109BvVMEH,46,105,100,97,116,97,58,48,48,52
CnBE8f9tH12lyUeQVR74,72,69,65,68,69,82,58,48,48,52
I2W3i5wHhq9UpyFVRgzE,72,69,65,68,69,82,58,48,48,52
6B17gNAqEZiQyvt8FDP3,72,69,65,68,69,82,58,48,48,52
78LEYtRhNmAP9Oogdv2Q,72,69,65,68,69,82,58,49,48,48
AiaszSGJFhg0wbtyR8Op,72,69,65,68,69,82,58,49,48,48
jvySFY0Moq4iC2EuU1HJ,72,69,65,68,69,82,58,48,48,52
dV8TQtBk3AK6nFq4zihw,72,69,65,68,69,82,58,48,48,52
GkQctIpwN58dSs4O7UhY,72,69,65,68,69,82,58,48,48,52
jdUNHTV5DrnJSZqW2MPp,72,69,65,68,69,82,58,48,48,52
cb31JMkpPTLmiIzvYjh4,72,69,65,68,69,82,58,49,48,48
7cyYPthi5KmvXEs2NkRj,72,69,65,68,69,82,58,48,48,52
5gl4sqLftFB2KVNvGrJZ,46,116,101,120,116,58,48,48,52,48
ghtBsXwAKYrkLy76bPR9,46,116,101,120,116,58,48,48,52,48
A6TX0OzcSq9BWrDfylNQ,72,69,65,68,69,82,58,53,70,52
F6nOrb9ipd0SskWuJjUw,72,69,65,68,69,82,58,48,48,52
ibDT9XVyqJNrcztvEHgF,72,69,65,68,69,82,58,48,48,52
B6dzEY3kKIn8me9McfGg,72,69,65,68,69,82,58,48,48,52
gdjL7Gu2qxoX3OHrSkWQ,72,69,65,68,69,82,58,48,48,52
ebcREpnCkZU65oBVHTj7,72,69,65,68,69,82,58,48,48,52
IsvGOaEpYKnrlqAbkRZz,72,69,65,68,69,82,58,48,48,52
ivrudVW0BGmSOlbqH6MY,72,69,65,68,69,82,58,48,48,52
D9spv8YxayThAzd1GbWn,72,69,65,68,69,82,58,54,55,54
HqFd1seJ8IURTuwDbW90,72,69,65,68,69,82,58,48,48,52
d9aX84kmhqvL1eANnciJ,72,69,65,68,69,82,58,48,48,52
ghvVNmusq9JQicTP5kHD,46,116,101,120,116,58,48,48,52,48
Ap1Lj5JHUiDVIoSWFq73,72,69,65,68,69,82,58,48,48,52
EoLuvjUwHXh2saIBzQb0,46,116,101,120,116,58,48,48,52,48
5ceItS0Y1RjbXrhC9Zdg,72,69,65,68,69,82,58,48,66,48
bDHk4ziTdugcp7jAZlE5,72,69,65,68,69,82,58,48,48,52
F6WTdXrgLfco1s2PUlyH,72,69,65,68,69,82,58,48,48,52
IUXGYzWQ9pNLqDgukfSd,72,69,65,68,69,82,58,55,51,48
Gn3Mf8X7jsWUyDYOIRLp,46,116,101,120,116,58,48,48,52,48
edZcFpiJ7kt9bPKqL6Al,72,69,65,68,69,82,58,48,48,52
br3oAnTeGyDp97XkzCOS,72,69,65,68,69,82,58,48,48,52
5JLHiDhkzyYPdTeuMqXb,72,69,65,68,69,82,58,49,48,48
6d0uJ9rYK1FcjRimvVNt,115,101,103,48,48,48,58,48,48,48
FdiEeV3N8WtUSXjmcrxo,72,69,65,68,69,82,58,48,48,52
dTPeEC5gShQ1YVcI94N0,72,69,65,68,69,82,58,48,48,52
iUbaSXxgBdTnsP8HplMO,72,69,65,68,69,82,58,48,48,52
CBZdlHELuV4rTPSb0sNM,46,116,101,120,116,58,48,48,52,48
b7fZK24zqGU9F3heMOdt,72,69,65,68,69,82,58,52,68,68
0sH5GdO3LpZwMbPaXjfN,72,69,65,68,69,82,58,48,48,52
5tMCNKDogQ2x7zwUbpcZ,72,69,65,68,69,82,58,48,48,52
elrTVLuNkdYoPWhxUAIS,46,116,101,120,116,58,48,48,52,48
JeR146WPmlVnxKvQAESb,72,69,65,68,69,82,58,49,48,48
iBT1K8E62rpmG73jN9VS,72,69,65,68,69,82,58,54,48,48
gV6kHaR3DyELvIBhTnmF,46,116,101,120,116,58,48,48,52,48
BKXtxeYlLsprabEWIQhn,72,69,65,68,69,82,58,49,48,48
FRTmvrEKAXNotPaWdqn4,46,116,101,120,116,58,48,48,52,48
Aag8xz4w7b03jD6mG1Yh,72,69,65,68,69,82,58,48,48,52
7OZ8auLijd26EwXcIGHo,72,69,65,68,69,82,58,49,48,48
bxj8HFNn0cCiAW7GOgzh,72,69,65,68,69,82,58,48,48,52
4MvTXueNz2rS08iER1BO,72,69,65,68,69,82,58,48,48,52
chAu06VgWqvZ3LOoaEep,72,69,65,68,69,82,58,48,48,52
iShnob7ANLg4E13UVFcT,72,69,65,68,69,82,58,48,48,52
i8WIr0dtVHSGMmwFlcUY,72,69,65,68,69,82,58,48,48,52
emUFPnYtVzvkxo42iQqE,72,69,65,68,69,82,58,48,48,52
D3P5wso2J0hYbKRIWaCL,72,69,65,68,69,82,58,48,48,52
FDHjobQnCUSs6atXldJL,72,69,65,68,69,82,58,48,48,52
jYq1SsZ6hHofN8UdMIy0,72,69,65,68,69,82,58,48,48,52
0dhL8Jvcswa7U1qHiDS5,72,69,65,68,69,82,58,48,48,52
ieI35JrWTM0KhHE1glbG,46,116,101,120,116,58,48,48,52,48
27V4S1ncC3fj0gitGuDI,72,69,65,68,69,82,58,48,48,52
hbT9ltVRQjau5nNFYpHM,46,116,101,120,116,58,48,48,52,48
CvdWjIn9A4GkBbp1HF6T,72,69,65,68,69,82,58,49,48,48
5KESjOTGuqF2or1sxB7H,72,69,65,68,69,82,58,48,48,52
6mKG5UgpFBOYCdR3Wz8J,72,69,65,68,69,82,58,48,48,52
GbTUXFYkMoafQSe1zN94,72,69,65,68,69,82,58,48,48,52
clQSzZEWDvJG6mNV8HCA,72,69,65,68,69,82,58,48,48,52
du6hbLIPwW2aGYZkNRQV,72,69,65,68,69,82,58,48,48,52
jKOP7rSszpF6dhNHQfua,72,69,65,68,69,82,58,48,48,52
fyH8oWql4rg7tEJSLpIB,72,69,65,68,69,82,58,48,48,52
baoYfR8qZlcnAQ3dH6t5,46,116,101,120,116,58,48,48,52,48
ErbRWGIYgktQ1mf5Hw2u,72,69,65,68,69,82,58,49,48,48
dW7PwfxAsy8HLFn3NXtB,72,69,65,68,69,82,58,48,48,52
d2xiVKZe4JTgBQSkOntW,72,69,65,68,69,82,58,49,48,48
BptGe4VriOWLUXmwoN81,72,69,65,68,69,82,58,48,48,52
catrJpdjF4qNw2UePAQL,46,116,101,120,116,58,48,48,52,48
AqyaxRL5DeZEYM2Tomj3,46,116,101,120,116,58,48,48,52,48
E1ALI9eYXgG2Nk0HOoby,72,69,65,68,69,82,58,54,50,52
BJn0weTz6MkXWDuHojcs,46,116,101,120,116,58,48,48,52,48
46FsZxPzIVu87hy95CkB,72,69,65,68,69,82,58,48,48,52
D4NQLor5zyHsjYCukl0O,72,69,65,68,69,82,58,48,48,52
FftMq5zTYhDgRyxv3wBC,72,69,65,68,69,82,58,48,48,52
I2Rtqw5TSvPfYjFkXGKr,72,69,65,68,69,82,58,48,48,52
7cx4QdBWg9wMa2pvOLuo,72,69,65,68,69,82,58,48,48,52
AeCXyFRcU2SsgvVTpMzi,72,69,65,68,69,82,58,49,48,48
1IpWLz6eyhVxDAfQMKEd,72,69,65,68,69,82,58,48,48,52
FsirpP0oDwXeAzC2KndG,72,69,65,68,69,82,58,48,48,52
B0vrgthbJyqlNks3UXIx,72,69,65,68,69,82,58,48,48,52
C6OEvgQ2n5F93Tjhoemt,72,69,65,68,69,82,58,48,48,52
bDAz9oPIQfZSXEYtjNCV,72,69,65,68,69,82,58,48,48,52
JgBfH0iAzTC5L2jIcnmb,72,69,65,68,69,82,58,48,48,52
4jKA1GUDv6TMNpPuIxER,72,69,65,68,69,82,58,48,48,52
AHeigWkoIT8EqX3SmJcB,72,69,65,68,69,82,58,52,69,57
KBV7bhMZ0tNApmdnyYqF,46,116,101,120,116,58,48,48,52,48
4L1CmOTeP97DlJRjf6BA,72,69,65,68,69,82,58,48,48,52
DpNvYX1qedHLiQnRhF98,72,69,65,68,69,82,58,48,48,52
6tV2UrOqmFoGua380Rhd,72,69,65,68,69,82,58,49,48,48
DSZMm8JIrBysVqoNCiRz,72,69,65,68,69,82,58,48,48,52
gT1hoOydKQN9bPLF7nef,72,69,65,68,69,82,58,48,48,52
friQmXP9g6D5AvOasLUT,72,69,65,68,69,82,58,48,48,52
2aHfrLhcPTj5GnFZXUCN,72,69,65,68,69,82,58,48,48,52
A8oC4SXBj0lrW2Jw6n9h,72,69,65,68,69,82,58,48,48,52
8db5LXcqCo9SJBVxQ1g0,72,69,65,68,69,82,58,48,48,52
ivXUldNe7j0Qt4TByrCm,46,116,101,120,116,58,48,48,52,48
hcwtORMJqx6kPiQzVjbX,72,69,65,68,69,82,58,48,48,52
exlXR3No8750FkhOSdAD,72,69,65,68,69,82,58,48,48,52
DEyOUKzN2g8suv96eYoC,72,69,65,68,69,82,58,48,48,52
8QRIkDJS4bgy2nEvMhfa,46,116,101,120,116,58,48,48,52,48
CJR6XzFHGUfeDMsh8xQk,72,69,65,68,69,82,58,49,48,48
BEDxazQfwP7s615Vdvpi,72,69,65,68,69,82,58,48,48,52
iDRvFW2NMeUKrPh5m34V,72,69,65,68,69,82,58,48,48,52
iNqCDB2ehnPTloQJyWbU,72,69,65,68,69,82,58,48,48,52
3bapyeGYC5Zot4Sm1NOd,72,69,65,68,69,82,58,49,48,48
bnTwRQSvo3CLKsgGaI45,72,69,65,68,69,82,58,48,48,52
4SyfKNtskEM1juUnXZv2,72,69,65,68,69,82,58,48,48,52
2pwjzv6eGEb8QmHPfxSc,72,69,65,68,69,82,58,48,48,52
4KhBDXeMgWo3OfRsyGj5,72,69,65,68,69,82,58,48,48,52
Hc5LqZVK2yzlsb8BEfdO,72,69,65,68,69,82,58,48,48,52
1PQFYMSBLAO9TmKk2Zhj,72,69,65,68,69,82,58,49,48,48
LdYVqZXi4EpATxvmBcW8,72,69,65,68,69,82,58,49,48,48
ei0C84XpoqcAS6v5ZExI,72,69,65,68,69,82,58,48,48,52
2EgZDWKnJV3Gz4TkIiYU,72,69,65,68,69,82,58,48,48,52
d23SxiTo1GahFwm4tKQz,72,69,65,68,69,82,58,48,48,52
buBXk0VawKfpYLytPxFj,72,69,65,68,69,82,58,49,48,48
B1RqJe6Mmwjnls7K4aUI,72,69,65,68,69,82,58,48,48,52
68QZolTBeOXR9jVxbsp7,72,69,65,68,69,82,58,48,48,52
hZ9FgpT4IDNx2mEi61r7,72,69,65,68,69,82,58,48,48,52
iLBzkjmPncOKs7f4FDv3,72,69,65,68,69,82,58,48,48,52
hyOk7czQB9E56wtHZ3XP,46,116,101,120,116,58,48,48,52,48
50tF9JeP6UYcOrkmyMvs,72,69,65,68,69,82,58,48,48,52
AGmSytfUCDr7JBdjT0in,72,69,65,68,69,82,58,48,48,52
1YAFzJjOeKUCc7pubM9q,72,69,65,68,69,82,58,48,48,52
FoD16RIxbOn70KasSQmC,72,69,65,68,69,82,58,48,48,52
63lPuMWerDURdtXQEo5K,72,69,65,68,69,82,58,48,48,52
e7qzcHbnpMG4DUiWP9mK,72,69,65,68,69,82,58,48,48,52
eMZYXFS0jiHTV5y742UC,46,122,101,110,99,58,48,48,52,48
gRBocU81iGy75lemTdsa,72,69,65,68,69,82,58,49,48,48
e2r6IncxE1LQOKFGgphj,72,69,65,68,69,82,58,48,48,52
E5SkPYDzxpyMwtXTWZ8a,46,116,101,120,116,58,48,48,52,48
Dn4rZAFdVq6gHktTziEC,72,69,65,68,69,82,58,48,48,52
2RsBPMStVQNc7x3kgYde,72,69,65,68,69,82,58,48,48,52
aRi6UqPbCVQs1gLWmF4e,72,69,65,68,69,82,58,54,68,52
0HKFs3AXTt1IrOl52eVu,72,69,65,68,69,82,58,48,48,52
dexOVwSPEDv4AYR8f3bI,72,69,65,68,69,82,58,48,48,52
4lFcSekUOy0MsrNxt6wH,72,69,65,68,69,82,58,48,48,52
gFNGYSsVAOx58JEI0laR,72,69,65,68,69,82,58,48,48,52
4kuxDJlwWHMi5KX3SVQq,72,69,65,68,69,82,58,48,48,52
ht0Lp1XYaVveSyInJx97,72,69,65,68,69,82,58,48,48,52
1yC7BzWHgtI2FibhQ0km,72,69,65,68,69,82,58,49,48,48
9XRnlJD64Wzy3gNUhkMC,72,69,65,68,69,82,58,48,48,52
Cz3Vx6ERt5LkrXy9BMOK,72,69,65,68,69,82,58,48,48,52
Dc9mlVIqbHf03CX8gP7s,46,116,101,120,116,58,48,48,52,48
idjesBrKybwkzPXMalUL,72,69,65,68,69,82,58,48,48,52
CMlwq0OXr8ygBbNESAIs,72,69,65,68,69,82,58,48,48,52
8FOKNb1VGi0hYnc2u4ls,72,69,65,68,69,82,58,48,48,52
hwekzyp1YmGI3joFdLaP,72,69,65,68,69,82,58,48,48,52
GAHqOv5KajTcR648pnbw,72,69,65,68,69,82,58,48,48,52
0giIqhw6e4mrHYzKFl8T,72,69,65,68,69,82,58,48,48,52
5tQ4OCNKrDpPhWB7ngou,72,69,65,68,69,82,58,49,48,48
Ju4nWgOCHXBlyZmTo51e,72,69,65,68,69,82,58,49,48,48
eGc1liEILN0hzWaOsnSH,72,69,65,68,69,82,58,49,48,48
cqLK6moeuhJl1MIPv4R3,46,116,101,120,116,58,48,48,52,48
7PpZMfi3L0TNnxFKvuVj,72,69,65,68,69,82,58,54,53,70
8wm2jYBqV30okUMfuDCd,72,69,65,68,69,82,58,48,48,52
9PjuhOrlRqxHeQcEBYMX,72,69,65,68,69,82,58,48,48,52
k0cYVqDT8h9yQH2ZGpSs,46,122,101,110,99,58,48,48,52,48
62rHUwVZ78GqfF5x1vnd,72,69,65,68,69,82,58,49,48,48
7Y5Egr0XjO8UIvNFA16L,72,69,65,68,69,82,58,48,48,52
5XhR0G3LryZSY7qtCvaz,72,69,65,68,69,82,58,49,48,48
b20QTKHoPdVzXRsZFG8C,72,69,65,68,69,82,58,48,48,52
5LFWPi9qzEb6fhyVSYaw,72,69,65,68,69,82,58,48,48,52
gDsZ7RCYM6vW0VT9ENzl,72,69,65,68,69,82,58,48,48,52
iOJebqWZLA7lXSktgc2N,72,69,65,68,69,82,58,48,48,52
G2pLR7TatM5XKCbWoh3O,72,69,65,68,69,82,58,48,48,52
9LuFTOtpGNqkoXnbr7MC,72,69,65,68,69,82,58,48,48,52
75DeYlyFgVjhbZ8vSTRI,72,69,65,68,69,82,58,48,48,52
AK8ZjCh1nXIzygf2s3Tv,72,69,65,68,69,82,58,48,48,52
4oxZLuH3TFAbSRtje0wy,46,116,101,120,116,58,48,48,52,48
9cTL3ogMZzDpXuvswOCh,72,69,65,68,69,82,58,48,48,52
dLU5WbCiGERMHjS20spY,72,69,65,68,69,82,58,54,48,50
FhotrfvWBaGEu1sN2zSJ,72,69,65,68,69,82,58,48,48,52
3zZpqyclD9B2v5Qas18m,72,69,65,68,69,82,58,48,48,52
cyTsg9fViFZ8uLjUXGSv,46,116,101,120,116,58,48,48,52,48
EMo7F2Xe8pgWKZfwhHuV,72,69,65,68,69,82,58,48,48,52
7D92cJaF5QIdpA1OEhSt,72,69,65,68,69,82,58,49,48,48
c9oKfzyRb23v8ZtJaAGE,72,69,65,68,69,82,58,48,48,52
6ByMewHIzS0LpsWdXZU1,72,69,65,68,69,82,58,49,48,48
gIhON4ojsvuxBfyJ3AMP,72,69,65,68,69,82,58,48,66,48
dKcE7Q1zuFViSaDRUtxY,72,69,65,68,69,82,58,48,48,52
alEOGLX5tBWIAMk2qTcY,72,69,65,68,69,82,58,48,48,52
1JPWLhrtsalBVpyGSKw5,72,69,65,68,69,82,58,48,48,52
6gHQkuhNCliso84zvqMG,72,69,65,68,69,82,58,48,48,52
j2pzLZUsYTlKG7bVf9Fk,72,69,65,68,69,82,58,49,48,48
ErlsfYCZaD0tuLjSo8GM,115,101,103,48,48,48,58,48,48,48
4c3h7j0QyqIgnKFzA5vR,72,69,65,68,69,82,58,48,48,52
1h7nkscUw5lDurHXPE20,72,69,65,68,69,82,58,48,48,52
dBGtYCewZ8IpWsUmyNQV,72,69,65,68,69,82,58,48,48,52
AlNimKRVGWnbq7X64jfs,72,69,65,68,69,82,58,49,48,48
7uqOdRfD2MNowsIh3xUX,72,69,65,68,69,82,58,48,48,52
27wyEMFY6QlxGfzpZ3iq,72,69,65,68,69,82,58,48,48,52
4sY5wVHK1fL7Poim8cJF,46,116,101,120,116,58,48,48,52,48
7KqfVlEBOmr6tTQewNG8,72,69,65,68,69,82,58,48,48,52
6Jdm89ABgOzRfitPVQ3M,72,69,65,68,69,82,58,48,48,52
ireBgWXwZGyvjU9aR7P6,72,69,65,68,69,82,58,49,48,48
2r45O3Hczp6togVfAJBI,72,69,65,68,69,82,58,48,48,52
hb9uKJOr5i82jEymWofH,72,69,65,68,69,82,58,48,48,52
9PcpS0d47xHb5aeCVUsQ,72,69,65,68,69,82,58,48,48,53
Atpz1WjXkcIo7l5TPh9Y,72,69,65,68,69,82,58,49,48,48
4KYgbJAoBWLCvP8mQOXU,72,69,65,68,69,82,58,48,48,52
5aqZV2vfkm63IeXYPlWg,72,69,65,68,69,82,58,49,48,48
fbvWPV2U0xQ3TpqohAFy,72,69,65,68,69,82,58,49,48,48
gsQyK4P7YRqarOo0EnS5,72,69,65,68,69,82,58,49,48,48
AGzOvc4dUfw1B8nDmY2X,72,69,65,68,69,82,58,54,70,48
KcfgCTNF3aMdqJ0jyWSG,72,69,65,68,69,82,58,48,48,52
ki3Fo5dh6yWAqOCBrEXP,72,69,65,68,69,82,58,48,48,52
I8CpwJOgDijPzEKxQ6UW,72,69,65,68,69,82,58,49,48,48
7CAzl4vfXB9jtU5eaSPV,72,69,65,68,69,82,58,55,55,68
8zQ4ul6gyLe9xjTZqwEs,72,69,65,68,69,82,58,48,48,52
1FAxSngsym35phwROGl0,72,69,65,68,69,82,58,48,48,52
dwBCl7xMSWvqFiZcJ1am,72,69,65,68,69,82,58,48,48,52
a3UjzHb2mkQxnJdtZsRV,72,69,65,68,69,82,58,48,48,52
bj1D4GtRqlJwX9ypBE2g,72,69,65,68,69,82,58,48,48,52
1LE6uK9BdgNXIcSTnrMJ,72,69,65,68,69,82,58,49,48,48
EuFex6OU2o43KqQYrz5c,72,69,65,68,69,82,58,53,70,56
epLciPaHrTu1gl4CW7Uf,72,69,65,68,69,82,58,48,48,52
IYXhFeyzUjrs6RNZcWAd,46,116,101,120,116,58,48,48,52,48
849LvXpTdqesHuxnwfOG,72,69,65,68,69,82,58,49,48,48
