,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
129,3,45.0,0,0,6.975,0,1,0,0,1
359,3,28.0,0,0,7.8792,1,0,0,1,0
453,1,49.0,1,0,89.1042,0,1,1,0,0
81,3,29.0,0,0,9.5,0,1,0,0,1
534,3,30.0,0,0,8.6625,1,0,0,0,1
278,3,7.0,4,1,29.125,0,1,0,1,0
173,3,21.0,0,0,7.925,0,1,0,0,1
726,2,30.0,3,0,21.0,1,0,0,0,1
123,2,32.5,0,0,13.0,1,0,0,0,1
817,2,31.0,1,1,37.0042,0,1,1,0,0
604,1,35.0,0,0,26.55,0,1,1,0,0
405,2,34.0,1,0,21.0,0,1,0,0,1
759,1,33.0,0,0,86.5,1,0,0,0,1
667,3,28.0,0,0,7.775,0,1,0,0,1
477,3,29.0,1,0,7.0458,0,1,0,0,1
643,3,28.0,0,0,56.4958,0,1,0,0,1
673,2,31.0,0,0,13.0,0,1,0,0,1
451,3,28.0,1,0,19.9667,0,1,0,0,1
770,3,24.0,0,0,9.5,0,1,0,0,1
135,2,23.0,0,0,15.0458,0,1,1,0,0
283,3,19.0,0,0,8.05,0,1,0,0,1
21,2,34.0,0,0,13.0,0,1,0,0,1
442,3,25.0,1,0,7.775,0,1,0,0,1
467,1,56.0,0,0,26.55,0,1,0,0,1
683,3,14.0,5,2,46.9,0,1,0,0,1
503,3,37.0,0,0,9.5875,1,0,0,0,1
621,1,42.0,1,0,52.5542,0,1,0,0,1
388,3,28.0,0,0,7.7292,0,1,0,1,0
490,3,28.0,1,0,19.9667,0,1,0,0,1
834,3,18.0,0,0,8.3,0,1,0,0,1
250,3,28.0,0,0,7.25,0,1,0,0,1
613,3,28.0,0,0,7.75,0,1,0,1,0
143,3,19.0,0,0,6.75,0,1,0,1,0
300,3,28.0,0,0,7.75,1,0,0,1,0
662,1,47.0,0,0,25.5875,0,1,0,0,1
846,3,28.0,8,2,69.55,0,1,0,0,1
840,3,20.0,0,0,7.925,0,1,0,0,1
862,1,48.0,0,0,25.9292,1,0,0,0,1
303,2,28.0,0,0,12.35,1,0,0,1,0
198,3,28.0,0,0,7.75,1,0,0,1,0
229,3,28.0,3,1,25.4667,1,0,0,0,1
252,1,62.0,0,0,26.55,0,1,0,0,1
472,2,33.0,1,2,27.75,1,0,0,0,1
492,1,55.0,0,0,30.5,0,1,0,0,1
132,3,47.0,1,0,14.5,1,0,0,0,1
262,1,52.0,1,1,79.65,0,1,0,0,1
749,3,31.0,0,0,7.75,0,1,0,1,0
659,1,58.0,0,2,113.275,0,1,1,0,0
543,2,32.0,1,0,26.0,0,1,0,0,1
349,3,42.0,0,0,8.6625,0,1,0,0,1
516,2,34.0,0,0,10.5,1,0,0,0,1
367,3,28.0,0,0,7.2292,1,0,1,0,0
290,1,26.0,0,0,78.85,1,0,0,0,1
379,3,19.0,0,0,7.775,0,1,0,0,1
277,2,28.0,0,0,0.0,0,1,0,0,1
113,3,20.0,1,0,9.825,1,0,0,0,1
413,2,28.0,0,0,0.0,0,1,0,0,1
670,2,40.0,1,1,39.0,1,0,0,0,1
642,3,2.0,3,2,27.9,1,0,0,0,1
881,3,33.0,0,0,7.8958,0,1,0,0,1
535,2,7.0,0,2,26.25,1,0,0,0,1
603,3,44.0,0,0,8.05,0,1,0,0,1
688,3,18.0,0,0,7.7958,0,1,0,0,1
282,3,16.0,0,0,9.5,0,1,0,0,1
264,3,28.0,0,0,7.75,1,0,0,1,0
279,3,35.0,1,1,20.25,1,0,0,0,1
406,3,51.0,0,0,7.75,0,1,0,0,1
373,1,22.0,0,0,135.6333,0,1,1,0,0
554,3,22.0,0,0,7.775,1,0,0,0,1
675,3,18.0,0,0,7.775,0,1,0,0,1
836,3,21.0,0,0,8.6625,0,1,0,0,1
49,3,18.0,1,0,17.8,1,0,0,0,1
705,2,39.0,0,0,26.0,0,1,0,0,1
864,2,24.0,0,0,13.0,0,1,0,0,1
347,3,28.0,1,0,16.1,1,0,0,0,1
661,3,40.0,0,0,7.225,0,1,1,0,0
147,3,9.0,2,2,34.375,1,0,0,0,1
866,2,27.0,1,0,13.8583,1,0,1,0,0
700,1,18.0,1,0,227.525,1,0,1,0,0
104,3,37.0,2,0,7.925,0,1,0,0,1
62,1,45.0,1,0,83.475,0,1,0,0,1
806,1,39.0,0,0,0.0,0,1,0,0,1
96,1,71.0,0,0,34.6542,0,1,1,0,0
361,2,29.0,1,0,27.7208,0,1,1,0,0
868,3,28.0,0,0,9.5,0,1,0,0,1
336,1,29.0,1,0,66.6,0,1,0,0,1
126,3,28.0,0,0,7.75,0,1,0,1,0
631,3,51.0,0,0,7.0542,0,1,0,0,1
295,1,28.0,0,0,27.7208,0,1,1,0,0
206,3,32.0,1,0,15.85,0,1,0,0,1
137,1,37.0,1,0,53.1,0,1,0,0,1
775,3,18.0,0,0,7.75,0,1,0,0,1
743,3,24.0,1,0,16.1,0,1,0,0,1
546,2,19.0,1,0,26.0,1,0,0,0,1
50,3,7.0,4,1,39.6875,0,1,0,0,1
316,2,24.0,1,0,26.0,1,0,0,0,1
163,3,17.0,0,0,8.6625,0,1,0,0,1
340,2,2.0,1,1,26.0,0,1,0,0,1
722,2,34.0,0,0,13.0,0,1,0,0,1
214,3,28.0,1,0,7.75,0,1,0,1,0
725,3,20.0,0,0,8.6625,0,1,0,0,1
172,3,1.0,1,1,11.1333,1,0,0,0,1
556,1,48.0,1,0,39.6,1,0,1,0,0
109,3,28.0,1,0,24.15,1,0,0,1,0
485,3,28.0,3,1,25.4667,1,0,0,0,1
225,3,22.0,0,0,9.35,0,1,0,0,1
68,3,17.0,4,2,7.925,1,0,0,0,1
575,3,19.0,0,0,14.5,0,1,0,0,1
716,1,38.0,0,0,227.525,1,0,1,0,0
341,1,24.0,3,2,263.0,1,0,0,0,1
258,1,35.0,0,0,512.3292,1,0,1,0,0
75,3,25.0,0,0,7.65,0,1,0,0,1
509,3,26.0,0,0,56.4958,0,1,0,0,1
824,3,2.0,4,1,39.6875,0,1,0,0,1
594,2,37.0,1,0,26.0,0,1,0,0,1
787,3,8.0,4,1,29.125,0,1,0,1,0
207,3,26.0,0,0,18.7875,0,1,1,0,0
755,2,0.67,1,1,14.5,0,1,0,0,1
34,1,28.0,1,0,82.1708,0,1,1,0,0
697,3,28.0,0,0,7.7333,1,0,0,1,0
305,1,0.92,1,2,151.55,0,1,0,0,1
592,3,47.0,0,0,7.25,0,1,0,0,1
611,3,28.0,0,0,7.05,0,1,0,0,1
757,2,18.0,0,0,11.5,0,1,0,0,1
93,3,26.0,1,2,20.575,0,1,0,0,1
714,2,52.0,0,0,13.0,0,1,0,0,1
450,2,36.0,1,2,27.75,0,1,0,0,1
635,2,28.0,0,0,13.0,1,0,0,0,1
449,1,52.0,0,0,30.5,0,1,0,0,1
511,3,28.0,0,0,8.05,0,1,0,0,1
548,3,33.0,1,1,20.525,0,1,0,0,1
685,2,25.0,1,2,41.5792,0,1,1,0,0
746,3,16.0,1,1,20.25,0,1,0,0,1
233,3,5.0,4,2,31.3875,1,0,0,0,1
587,1,60.0,1,1,79.2,0,1,1,0,0
382,3,32.0,0,0,7.925,0,1,0,0,1
280,3,65.0,0,0,7.75,0,1,0,1,0
737,1,35.0,0,0,512.3292,0,1,1,0,0
624,3,21.0,0,0,16.1,0,1,0,0,1
256,1,28.0,0,0,79.2,1,0,1,0,0
368,3,28.0,0,0,7.75,1,0,0,1,0
858,3,24.0,0,3,19.2583,1,0,1,0,0
170,1,61.0,0,0,33.5,0,1,0,0,1
769,3,32.0,0,0,8.3625,0,1,0,0,1
710,1,24.0,0,0,49.5042,1,0,1,0,0
505,1,18.0,1,0,108.9,0,1,1,0,0
873,3,47.0,0,0,9.0,0,1,0,0,1
544,1,50.0,1,0,106.425,0,1,1,0,0
615,2,24.0,1,2,65.0,1,0,0,0,1
618,2,4.0,2,1,39.0,1,0,0,0,1
579,3,32.0,0,0,7.925,0,1,0,0,1
452,1,30.0,0,0,27.75,0,1,1,0,0
159,3,28.0,8,2,69.55,0,1,0,0,1
4,3,35.0,0,0,8.05,0,1,0,0,1
792,3,28.0,8,2,69.55,1,0,0,0,1
344,2,36.0,0,0,13.0,0,1,0,0,1
500,3,17.0,0,0,8.6625,0,1,0,0,1
696,3,44.0,0,0,8.05,0,1,0,0,1
555,1,62.0,0,0,26.55,0,1,0,0,1
156,3,16.0,0,0,7.7333,1,0,0,1,0
522,3,28.0,0,0,7.225,0,1,1,0,0
773,3,28.0,0,0,7.225,0,1,1,0,0
294,3,24.0,0,0,7.8958,0,1,0,0,1
399,2,28.0,0,0,12.65,1,0,0,0,1
507,1,28.0,0,0,26.55,0,1,0,0,1
655,2,24.0,2,0,73.5,0,1,0,0,1
17,2,28.0,0,0,13.0,0,1,0,0,1
847,3,35.0,0,0,7.8958,0,1,1,0,0
465,3,38.0,0,0,7.05,0,1,0,0,1
486,1,35.0,1,0,90.0,1,0,0,0,1
181,2,28.0,0,0,15.05,0,1,1,0,0
654,3,18.0,0,0,6.75,1,0,0,1,0
569,3,32.0,0,0,7.8542,0,1,0,0,1
238,2,19.0,0,0,10.5,0,1,0,0,1
301,3,28.0,2,0,23.25,0,1,0,1,0
835,1,39.0,1,1,83.1583,1,0,1,0,0
656,3,28.0,0,0,7.8958,0,1,0,0,1
41,2,27.0,1,0,21.0,1,0,0,0,1
616,3,34.0,1,1,14.4,0,1,0,0,1
841,2,16.0,0,0,10.5,0,1,0,0,1
539,1,22.0,0,2,49.5,1,0,1,0,0
323,2,22.0,1,1,29.0,1,0,0,0,1
875,3,15.0,0,0,7.225,1,0,1,0,0
286,3,30.0,0,0,9.5,0,1,0,0,1
483,3,63.0,0,0,9.5875,1,0,0,0,1
585,1,18.0,0,2,79.65,1,0,0,0,1
355,3,28.0,0,0,9.5,0,1,0,0,1
55,1,28.0,0,0,35.5,0,1,0,0,1
728,2,25.0,1,0,26.0,0,1,0,0,1
215,1,31.0,1,0,113.275,1,0,1,0,0
327,2,36.0,0,0,13.0,1,0,0,0,1
23,1,28.0,0,0,35.5,0,1,0,0,1
392,3,28.0,2,0,7.925,0,1,0,0,1
185,1,28.0,0,0,50.0,0,1,0,0,1
807,3,18.0,0,0,7.775,1,0,0,0,1
565,3,24.0,2,0,24.15,0,1,0,0,1
244,3,30.0,0,0,7.225,0,1,1,0,0
487,1,58.0,0,0,29.7,0,1,1,0,0
389,2,17.0,0,0,12.0,1,0,1,0,0
657,3,32.0,1,1,15.5,1,0,0,1,0
306,1,28.0,0,0,110.8833,1,0,1,0,0
125,3,12.0,1,0,11.2417,0,1,1,0,0
780,3,13.0,0,0,7.2292,1,0,1,0,0
851,3,74.0,0,0,7.775,0,1,0,0,1
149,2,42.0,0,0,13.0,0,1,0,0,1
429,3,32.0,0,0,8.05,0,1,0,0,1
848,2,28.0,0,1,33.0,0,1,0,0,1
398,2,23.0,0,0,10.5,0,1,0,0,1
597,3,49.0,0,0,0.0,0,1,0,0,1
599,1,49.0,1,0,56.9292,0,1,1,0,0
799,3,30.0,1,1,24.15,1,0,0,0,1
553,3,22.0,0,0,7.225,0,1,1,0,0
791,2,16.0,0,0,26.0,0,1,0,0,1
92,1,46.0,1,0,61.175,0,1,0,0,1
76,3,28.0,0,0,7.8958,0,1,0,0,1
77,3,28.0,0,0,8.05,0,1,0,0,1
79,3,30.0,0,0,12.475,1,0,0,0,1
729,3,25.0,1,0,7.925,1,0,0,0,1
58,2,5.0,1,2,27.75,1,0,0,0,1
265,2,36.0,0,0,10.5,0,1,0,0,1
752,3,33.0,0,0,9.5,0,1,0,0,1
131,3,20.0,0,0,7.05,0,1,0,0,1
736,3,48.0,1,3,34.375,1,0,0,0,1
61,1,38.0,0,0,80.0,1,0,0,0,0
527,1,28.0,0,0,221.7792,0,1,0,0,1
37,3,21.0,0,0,8.05,0,1,0,0,1
219,2,30.0,0,0,10.5,0,1,0,0,1
220,3,16.0,0,0,8.05,0,1,0,0,1
860,3,41.0,2,0,14.1083,0,1,0,0,1
412,1,33.0,1,0,90.0,1,0,0,1,0
668,3,43.0,0,0,8.05,0,1,0,0,1
844,3,17.0,0,0,8.6625,0,1,0,0,1
733,2,23.0,0,0,13.0,0,1,0,0,1
321,3,27.0,0,0,7.8958,0,1,0,0,1
438,1,64.0,1,4,263.0,0,1,0,0,1
497,3,28.0,0,0,15.1,0,1,0,0,1
16,3,2.0,4,1,29.125,0,1,0,1,0
519,3,32.0,0,0,7.8958,0,1,0,0,1
760,3,28.0,0,0,14.5,0,1,0,0,1
408,3,21.0,0,0,7.775,0,1,0,0,1
645,1,48.0,1,0,76.7292,0,1,1,0,0
702,3,18.0,0,1,14.4542,1,0,1,0,0
259,2,50.0,0,1,26.0,1,0,0,0,1
353,3,25.0,1,0,17.8,0,1,0,0,1
311,1,18.0,2,2,262.375,1,0,1,0,0
289,3,22.0,0,0,7.75,1,0,0,1,0
39,3,14.0,1,0,11.2417,1,0,1,0,0
745,1,70.0,1,1,71.0,0,1,0,0,1
753,3,23.0,0,0,7.8958,0,1,0,0,1
784,3,25.0,0,0,7.05,0,1,0,0,1
526,2,50.0,0,0,10.5,1,0,0,0,1
715,3,19.0,0,0,7.65,0,1,0,0,1
583,1,36.0,0,0,40.125,0,1,1,0,0
699,3,42.0,0,0,7.65,0,1,0,0,1
177,1,50.0,0,0,28.7125,1,0,1,0,0
681,1,27.0,0,0,76.7292,0,1,1,0,0
651,2,18.0,0,1,23.0,1,0,0,0,1
155,1,51.0,0,1,61.3792,0,1,1,0,0
100,3,28.0,0,0,7.8958,1,0,0,0,1
614,3,35.0,0,0,8.05,0,1,0,0,1
183,2,1.0,2,1,39.0,0,1,0,0,1
153,3,40.5,0,2,14.5,0,1,0,0,1
815,1,28.0,0,0,0.0,0,1,0,0,1
377,1,27.0,0,2,211.5,0,1,1,0,0
268,1,58.0,0,1,153.4625,1,0,0,0,1
189,3,36.0,0,0,7.8958,0,1,0,0,1
270,1,28.0,0,0,31.0,0,1,0,0,1
140,3,28.0,0,2,15.2458,1,0,1,0,0
518,2,36.0,1,0,26.0,1,0,0,0,1
626,2,57.0,0,0,12.35,0,1,0,1,0
781,1,17.0,1,0,57.0,1,0,0,0,1
501,3,21.0,0,0,7.75,1,0,0,1,0
372,3,19.0,0,0,8.05,0,1,0,0,1
460,1,48.0,0,0,26.55,0,1,0,0,1
476,2,34.0,1,0,21.0,0,1,0,0,1
606,3,30.0,0,0,7.8958,0,1,0,0,1
819,3,10.0,3,2,27.9,0,1,0,0,1
199,2,24.0,0,0,13.0,1,0,0,0,1
313,3,28.0,0,0,7.8958,0,1,0,0,1
422,3,29.0,0,0,7.875,0,1,0,0,1
138,3,16.0,0,0,9.2167,0,1,0,0,1
162,3,26.0,0,0,7.775,0,1,0,0,1
1,1,38.0,1,0,71.2833,1,0,1,0,0
607,1,27.0,0,0,30.5,0,1,0,0,1
469,3,0.75,2,1,19.2583,1,0,1,0,0
397,2,46.0,0,0,26.0,0,1,0,0,1
142,3,24.0,1,0,15.85,1,0,0,0,1
593,3,28.0,0,2,7.75,1,0,0,1,0
146,3,27.0,0,0,7.7958,0,1,0,0,1
240,3,28.0,1,0,14.4542,1,0,1,0,0
226,2,19.0,0,0,10.5,0,1,0,0,1
118,1,24.0,0,1,247.5208,0,1,1,0,0
208,3,16.0,0,0,7.75,1,0,0,1,0
119,3,2.0,4,2,31.275,1,0,0,0,1
738,3,28.0,0,0,7.8958,0,1,0,0,1
674,2,28.0,0,0,0.0,0,1,0,0,1
339,1,45.0,0,0,35.5,0,1,0,0,1
335,3,28.0,0,0,7.8958,0,1,0,0,1
120,2,21.0,2,0,73.5,0,1,0,0,1
703,3,25.0,0,0,7.7417,0,1,0,1,0
188,3,40.0,1,1,15.5,0,1,0,1,0
712,1,48.0,1,0,52.0,0,1,0,0,1
455,3,29.0,0,0,7.8958,0,1,1,0,0
640,3,20.0,0,0,7.8542,0,1,0,0,1
18,3,31.0,1,0,18.0,1,0,0,0,1
660,1,50.0,2,0,133.65,0,1,0,0,1
795,2,39.0,0,0,13.0,0,1,0,0,1
365,3,30.0,0,0,7.25,0,1,0,0,1
108,3,38.0,0,0,7.8958,0,1,0,0,1
86,3,16.0,1,3,34.375,0,1,0,0,1
517,3,28.0,0,0,24.15,0,1,0,1,0
332,1,38.0,0,1,153.4625,0,1,0,0,1
445,1,4.0,0,2,81.8583,0,1,0,0,1
98,2,34.0,0,1,23.0,1,0,0,0,1
345,2,24.0,0,0,13.0,1,0,0,0,1
734,2,23.0,0,0,13.0,0,1,0,0,1
241,3,28.0,1,0,15.5,1,0,0,1,0
531,3,28.0,0,0,7.2292,0,1,1,0,0
33,2,66.0,0,0,10.5,0,1,0,0,1
35,1,42.0,1,0,52.0,0,1,0,0,1
650,3,28.0,0,0,7.8958,0,1,0,0,1
701,1,35.0,0,0,26.2875,0,1,0,0,1
380,1,42.0,0,0,227.525,1,0,1,0,0
